image1,image2,labels
014/08_019.png,014_forg/01_0115019.PNG,1
014/08_019.png,014_forg/01_0119019.PNG,1
014/08_019.png,014_forg/01_0116019.PNG,1
014/08_019.png,014_forg/04_0115019.PNG,1
014/08_019.png,014_forg/02_0119019.PNG,1
014/03_019.png,014_forg/01_0115019.PNG,1
014/03_019.png,014_forg/01_0119019.PNG,1
014/03_019.png,014_forg/01_0116019.PNG,1
014/03_019.png,014_forg/04_0115019.PNG,1
014/03_019.png,014_forg/02_0119019.PNG,1
014/10_019.png,014_forg/01_0115019.PNG,1
014/10_019.png,014_forg/01_0119019.PNG,1
014/10_019.png,014_forg/01_0116019.PNG,1
014/10_019.png,014_forg/04_0115019.PNG,1
014/10_019.png,014_forg/02_0119019.PNG,1
014/07_019.png,014_forg/01_0115019.PNG,1
014/07_019.png,014_forg/01_0119019.PNG,1
014/07_019.png,014_forg/01_0116019.PNG,1
014/07_019.png,014_forg/04_0115019.PNG,1
014/07_019.png,014_forg/02_0119019.PNG,1
014/11_019.png,014_forg/01_0115019.PNG,1
014/11_019.png,014_forg/01_0119019.PNG,1
014/11_019.png,014_forg/01_0116019.PNG,1
014/11_019.png,014_forg/04_0115019.PNG,1
014/11_019.png,014_forg/02_0119019.PNG,1
014/04_019.png,014_forg/01_0115019.PNG,1
014/04_019.png,014_forg/01_0119019.PNG,1
014/04_019.png,014_forg/01_0116019.PNG,1
014/04_019.png,014_forg/04_0115019.PNG,1
014/04_019.png,014_forg/02_0119019.PNG,1
014/12_019.png,014_forg/01_0115019.PNG,1
014/12_019.png,014_forg/01_0119019.PNG,1
014/12_019.png,014_forg/01_0116019.PNG,1
014/12_019.png,014_forg/04_0115019.PNG,1
014/12_019.png,014_forg/02_0119019.PNG,1
014/02_019.png,014_forg/01_0115019.PNG,1
014/02_019.png,014_forg/01_0119019.PNG,1
014/02_019.png,014_forg/01_0116019.PNG,1
014/02_019.png,014_forg/04_0115019.PNG,1
014/02_019.png,014_forg/02_0119019.PNG,1
014/05_019.png,014_forg/01_0115019.PNG,1
014/05_019.png,014_forg/01_0119019.PNG,1
014/05_019.png,014_forg/01_0116019.PNG,1
014/05_019.png,014_forg/04_0115019.PNG,1
014/05_019.png,014_forg/02_0119019.PNG,1
014/06_019.png,014_forg/01_0115019.PNG,1
014/06_019.png,014_forg/01_0119019.PNG,1
014/06_019.png,014_forg/01_0116019.PNG,1
014/06_019.png,014_forg/04_0115019.PNG,1
014/06_019.png,014_forg/02_0119019.PNG,1
014/09_019.png,014_forg/01_0115019.PNG,1
014/09_019.png,014_forg/01_0119019.PNG,1
014/09_019.png,014_forg/01_0116019.PNG,1
014/09_019.png,014_forg/04_0115019.PNG,1
014/09_019.png,014_forg/02_0119019.PNG,1
014/01_019.png,014_forg/01_0115019.PNG,1
014/01_019.png,014_forg/01_0119019.PNG,1
014/01_019.png,014_forg/01_0116019.PNG,1
014/01_019.png,014_forg/04_0115019.PNG,1
014/01_019.png,014_forg/02_0119019.PNG,1
014/08_019.png,014/10_019.png,0
014/08_019.png,014/09_019.png,0
014/08_019.png,014/03_019.png,0
014/08_019.png,014/05_019.png,0
014/08_019.png,014/12_019.png,0
014/03_019.png,014/10_019.png,0
014/03_019.png,014/09_019.png,0
014/03_019.png,014/05_019.png,0
014/03_019.png,014/12_019.png,0
014/10_019.png,014/09_019.png,0
014/10_019.png,014/03_019.png,0
014/10_019.png,014/05_019.png,0
014/10_019.png,014/12_019.png,0
014/07_019.png,014/10_019.png,0
014/07_019.png,014/09_019.png,0
014/07_019.png,014/03_019.png,0
014/07_019.png,014/05_019.png,0
014/07_019.png,014/12_019.png,0
014/11_019.png,014/10_019.png,0
014/11_019.png,014/09_019.png,0
014/11_019.png,014/03_019.png,0
014/11_019.png,014/05_019.png,0
014/11_019.png,014/12_019.png,0
014/04_019.png,014/10_019.png,0
014/04_019.png,014/09_019.png,0
014/04_019.png,014/03_019.png,0
014/04_019.png,014/05_019.png,0
014/04_019.png,014/12_019.png,0
014/12_019.png,014/10_019.png,0
014/12_019.png,014/09_019.png,0
014/12_019.png,014/03_019.png,0
014/12_019.png,014/05_019.png,0
014/02_019.png,014/10_019.png,0
014/02_019.png,014/09_019.png,0
014/02_019.png,014/03_019.png,0
014/02_019.png,014/05_019.png,0
014/02_019.png,014/12_019.png,0
014/05_019.png,014/10_019.png,0
014/05_019.png,014/09_019.png,0
014/05_019.png,014/03_019.png,0
014/05_019.png,014/12_019.png,0
014/06_019.png,014/10_019.png,0
014/06_019.png,014/09_019.png,0
014/06_019.png,014/03_019.png,0
014/06_019.png,014/05_019.png,0
014/06_019.png,014/12_019.png,0
014/09_019.png,014/10_019.png,0
014/09_019.png,014/03_019.png,0
014/09_019.png,014/05_019.png,0
014/09_019.png,014/12_019.png,0
014/01_019.png,014/10_019.png,0
014/01_019.png,014/09_019.png,0
014/01_019.png,014/03_019.png,0
014/01_019.png,014/05_019.png,0
014/01_019.png,014/12_019.png,0
015/03_020.png,015_forg/01_0117020.PNG,1
015/03_020.png,015_forg/02_0105020.PNG,1
015/03_020.png,015_forg/03_0127020.PNG,1
015/03_020.png,015_forg/01_0127020.PNG,1
015/03_020.png,015_forg/04_0213020.PNG,1
015/08_020.png,015_forg/01_0117020.PNG,1
015/08_020.png,015_forg/02_0105020.PNG,1
015/08_020.png,015_forg/03_0127020.PNG,1
015/08_020.png,015_forg/01_0127020.PNG,1
015/08_020.png,015_forg/04_0213020.PNG,1
015/01_020.png,015_forg/01_0117020.PNG,1
015/01_020.png,015_forg/02_0105020.PNG,1
015/01_020.png,015_forg/03_0127020.PNG,1
015/01_020.png,015_forg/01_0127020.PNG,1
015/01_020.png,015_forg/04_0213020.PNG,1
015/05_020.png,015_forg/01_0117020.PNG,1
015/05_020.png,015_forg/02_0105020.PNG,1
015/05_020.png,015_forg/03_0127020.PNG,1
015/05_020.png,015_forg/01_0127020.PNG,1
015/05_020.png,015_forg/04_0213020.PNG,1
015/09_020.png,015_forg/01_0117020.PNG,1
015/09_020.png,015_forg/02_0105020.PNG,1
015/09_020.png,015_forg/03_0127020.PNG,1
015/09_020.png,015_forg/01_0127020.PNG,1
015/09_020.png,015_forg/04_0213020.PNG,1
015/10_020.png,015_forg/01_0117020.PNG,1
015/10_020.png,015_forg/02_0105020.PNG,1
015/10_020.png,015_forg/03_0127020.PNG,1
015/10_020.png,015_forg/01_0127020.PNG,1
015/10_020.png,015_forg/04_0213020.PNG,1
015/07_020.png,015_forg/01_0117020.PNG,1
015/07_020.png,015_forg/02_0105020.PNG,1
015/07_020.png,015_forg/03_0127020.PNG,1
015/07_020.png,015_forg/01_0127020.PNG,1
015/07_020.png,015_forg/04_0213020.PNG,1
015/11_020.png,015_forg/01_0117020.PNG,1
015/11_020.png,015_forg/02_0105020.PNG,1
015/11_020.png,015_forg/03_0127020.PNG,1
015/11_020.png,015_forg/01_0127020.PNG,1
015/11_020.png,015_forg/04_0213020.PNG,1
015/06_020.png,015_forg/01_0117020.PNG,1
015/06_020.png,015_forg/02_0105020.PNG,1
015/06_020.png,015_forg/03_0127020.PNG,1
015/06_020.png,015_forg/01_0127020.PNG,1
015/06_020.png,015_forg/04_0213020.PNG,1
015/04_020.png,015_forg/01_0117020.PNG,1
015/04_020.png,015_forg/02_0105020.PNG,1
015/04_020.png,015_forg/03_0127020.PNG,1
015/04_020.png,015_forg/01_0127020.PNG,1
015/04_020.png,015_forg/04_0213020.PNG,1
015/02_020.png,015_forg/01_0117020.PNG,1
015/02_020.png,015_forg/02_0105020.PNG,1
015/02_020.png,015_forg/03_0127020.PNG,1
015/02_020.png,015_forg/01_0127020.PNG,1
015/02_020.png,015_forg/04_0213020.PNG,1
015/12_020.png,015_forg/01_0117020.PNG,1
015/12_020.png,015_forg/02_0105020.PNG,1
015/12_020.png,015_forg/03_0127020.PNG,1
015/12_020.png,015_forg/01_0127020.PNG,1
015/12_020.png,015_forg/04_0213020.PNG,1
015/03_020.png,015/01_020.png,0
015/03_020.png,015/06_020.png,0
015/03_020.png,015/05_020.png,0
015/03_020.png,015/11_020.png,0
015/03_020.png,015/04_020.png,0
015/08_020.png,015/01_020.png,0
015/08_020.png,015/06_020.png,0
015/08_020.png,015/05_020.png,0
015/08_020.png,015/11_020.png,0
015/08_020.png,015/04_020.png,0
015/01_020.png,015/06_020.png,0
015/01_020.png,015/05_020.png,0
015/01_020.png,015/11_020.png,0
015/01_020.png,015/04_020.png,0
015/05_020.png,015/01_020.png,0
015/05_020.png,015/06_020.png,0
015/05_020.png,015/11_020.png,0
015/05_020.png,015/04_020.png,0
015/09_020.png,015/01_020.png,0
015/09_020.png,015/06_020.png,0
015/09_020.png,015/05_020.png,0
015/09_020.png,015/11_020.png,0
015/09_020.png,015/04_020.png,0
